3,236,300,188800,0.001221657,78.66666667
0,0,0.00E+00,0.00E+00,0,0
0,0,0.00E+00,0.00E+00,0,0
1,139,100,111200,0.003665209,139
1,119,100,95200,0.000394821,119
0,0,0.00E+00,0.00E+00,0,0
0,0,0.00E+00,0.00E+00,0,0
0,0,0.00E+00,0.00E+00,0,0
1,396,100,316800,0.0071311,396
0,0,0.00E+00,0.00E+00,0,0
0,0,0.00E+00,0.00E+00,0,0
0,0,0.00E+00,0.00E+00,0,0
0,0,0.00E+00,0.00E+00,0,0
0,0,0.00E+00,0.00E+00,0,0
1,40,100,32000,0.000352859,40
0,0,0.00E+00,0.00E+00,0,0
1,40,100,32000,0.000419855,40
0,0,0.00E+00,0.00E+00,0,0
0,0,0.00E+00,0.00E+00,0,0
1,79,100,63200,0.001223087,79
1,40,100,32000,0.000191927,40
0,0,0.00E+00,0.00E+00,0,0
0,0,0.00E+00,0.00E+00,0,0
0,0,0.00E+00,0.00E+00,0,0
0,0,0.00E+00,0.00E+00,0,0
0,0,0.00E+00,0.00E+00,0,0
3,3024,300,2419200,0.000394344,1008
1,576,100,460800,0.009585142,576
3,3024,300,2419200,0.000802358,1008
1,1492,100,1193600,0.000753164,1492
0,0,0.00E+00,0.00E+00,0,0
1,40,100,32000,0.00026989,40
0,0,0.00E+00,0.00E+00,0,0
1,40,100,32000,0.000622988,40
0,0,0.00E+00,0.00E+00,0,0
1,40,100,32000,0.000259161,40
0,0,0.00E+00,0.00E+00,0,0
0,0,0.00E+00,0.00E+00,0,0
0,0,0.00E+00,0.00E+00,0,0
1,40,100,32000,0.000632048,40
0,0,0.00E+00,0.00E+00,0,0
0,0,0.00E+00,0.00E+00,0,0
0,0,0.00E+00,0.00E+00,0,0
2,616,200,492800,0.004804492,308
1,40,100,32000,0.000561953,40
1,40,100,32000,0.000421047,40
0,0,0.00E+00,0.00E+00,0,0
1,40,100,32000,0.00048089,40
0,0,0.00E+00,0.00E+00,0,0
1,40,100,32000,0.000189066,40
0,0,0.00E+00,0.00E+00,0,0
0,0,0.00E+00,0.00E+00,0,0
2,2984,200,2387200,0.000295997,1492
0,0,0.00E+00,0.00E+00,0,0
1,40,100,32000,0.000396013,40
2,1580,200,1264000,0.000270009,790
0,0,0.00E+00,0.00E+00,0,0
1,1492,100,1193600,0.00046587,1492
0,0,0.00E+00,0.00E+00,0,0
1,40,100,32000,0.000439882,40
0,0,0.00E+00,0.00E+00,0,0
2,616,200,492800,0.004571438,308
1,40,100,32000,0.000182152,40
0,0,0.00E+00,0.00E+00,0,0
1,40,100,32000,0.000360966,40
0,0,0.00E+00,0.00E+00,0,0
1,40,100,32000,0.00048089,40
0,0,0.00E+00,0.00E+00,0,0
1,40,100,32000,0.000505924,40
1,40,100,32000,0.000304937,40
0,0,0.00E+00,0.00E+00,0,0
1,40,100,32000,0.000488043,40
0,0,0.00E+00,0.00E+00,0,0
2,2984,200,2387200,0.000330567,1492
1,576,100,460800,0.009947062,576
0,0,0.00E+00,0.00E+00,0,0
1,1492,100,1193600,0.000467062,1492
1,40,100,32000,0.000282049,40
0,0,0.00E+00,0.00E+00,0,0
1,40,100,32000,0.000466108,40
0,0,0.00E+00,0.00E+00,0,0
1,40,100,32000,0.000604868,40
1,40,100,32000,0.000427961,40
0,0,0.00E+00,0.00E+00,0,0
2,2984,200,2387200,0.000483513,1492
0,0,0.00E+00,0.00E+00,0,0
0,0,0.00E+00,0.00E+00,0,0
1,40,100,32000,0.000234842,40
0,0,0.00E+00,0.00E+00,0,0
1,40,100,32000,0.000540018,40
0,0,0.00E+00,0.00E+00,0,0
1,40,100,32000,0.000314236,40
1,40,100,32000,0.000334978,40
0,0,0.00E+00,0.00E+00,0,0
2,2984,200,2387200,0.000330091,1492
0,0,0.00E+00,0.00E+00,0,0
0,0,0.00E+00,0.00E+00,0,0
1,40,100,32000,0.000203848,40
0,0,0.00E+00,0.00E+00,0,0
1,40,100,32000,0.000246048,40
0,0,0.00E+00,0.00E+00,0,0
1,40,100,32000,0.00032115,40
0,0,0.00E+00,0.00E+00,0,0
1,40,100,32000,0.000504017,40
0,0,0.00E+00,0.00E+00,0,0
0,0,0.00E+00,0.00E+00,0,0
0,0,0.00E+00,0.00E+00,0,0
0,0,0.00E+00,0.00E+00,0,0
0,0,0.00E+00,0.00E+00,0,0
0,0,0.00E+00,0.00E+00,0,0
0,0,0.00E+00,0.00E+00,0,0
0,0,0.00E+00,0.00E+00,0,0
2,210,200,168000,0.002357483,105
0,0,0.00E+00,0.00E+00,0,0
2,2984,200,2387200,0.000291467,1492
1,1492,100,1193600,0.000405073,1492
1,1492,100,1193600,0.000377893,1492
3,4476,300,3580800,0.000216007,1492
2,2984,200,2387200,0.000343084,1492
1,1492,100,1193600,0.000499964,1492
3,3826,300,3060800,0.000194629,1275.333333
1,1492,100,1193600,0.000520229,1492
2,2984,200,2387200,0.000365973,1492
2,2984,200,2387200,0.000252962,1492
0,0,0.00E+00,0.00E+00,0,0
0,0,0.00E+00,0.00E+00,0,0
1,1492,100,1193600,0.000677109,1492
3,3036,300,2428800,0.000783285,1012
1,1492,100,1193600,0.000575781,1492
0,0,0.00E+00,0.00E+00,0,0
1,1492,100,1193600,0.000315905,1492
1,1492,100,1193600,0.0006001,1492
2,1620,200,1296000,0.000146985,810
0,0,0.00E+00,0.00E+00,0,0
1,451,100,360800,0.000687838,451
0,0,0.00E+00,0.00E+00,0,0
2,2984,200,2387200,1.54972E-06,1492
1,1492,100,1193600,0.000355959,1492
1,1492,100,1193600,0.000492096,1492
